Alejandro Abascal Garca,Sailing Mixed Two Person Heavyweight Dinghy
Jos Manuel Abascal Gmez,"Athletics Men's 1,500 metres"
Rost'om Omeris dze Abashidze,"Wrestling Men's Light-Heavyweight, Greco-Roman"
Nunu Dzhansuhivna Abashydze (-Myslaieva),Athletics Women's Shot Put
Rodrigo Abasolo,Rowing Men's Coxed Eights
Tamila Rashidovna Abasova,Cycling Women's Sprint
Tamila Rashidovna Abasova,Cycling Women's 500 metres Time Trial
Emanuele Abate,Athletics Men's 110 metres Hurdles
Ignazio Abate,Football Men's Football
Jol Marc Abati,Handball Men's Handball
Ral Abatte,Shooting Mixed Trap
Georgia Abatzidou,Athletics Women's Marathon
Carlos Rodolfo Abaunza Balladares,Athletics Men's 100 metres
Carlos Alberto Abaunza,Athletics Men's High Jump
Hctor Abaunza,"Fencing Men's Foil, Individual"
Hctor Abaunza,"Fencing Men's Foil, Team"
Hctor Abaunza,"Fencing Men's Sabre, Team"
Pter Abay,"Fencing Men's Sabre, Team"
Oszkr Abay-Nemes,Swimming Men's 100 metres Freestyle
Oszkr Abay-Nemes,Swimming Men's 4 x 200 metres Freestyle Relay
Adeyemi Abayomi,Boxing Men's Lightweight
Sayed Fahmy Abaza,Football Men's Football
Silvano Abba,Modern Pentathlon Men's Individual
Gana Abba Kimet,Athletics Men's 100 metres
Ilyas Abbadi,Boxing Men's Welterweight
Ilyas Abbadi,Boxing Men's Middleweight
Agostino Abbagnale,Rowing Men's Quadruple Sculls
Agostino Abbagnale,Rowing Men's Double Sculls
Carmine Abbagnale,Rowing Men's Coxed Pairs
Carmine Abbagnale,Rowing Men's Coxed Eights
Giuseppe Abbagnale,Rowing Men's Coxed Pairs
Abdul Latif Al-Sayed Abbas Youssef Hashem,Athletics Men's 400 metres Hurdles
Abdul Latif Al-Sayed Abbas Youssef Hashem,Athletics Men's 4 x 100 metres Relay
Abubakar Abbas Abbas,Athletics Men's 400 metres
Aqarab Abbas,Athletics Men's Hammer Throw
Aziz Abbas,Weightlifting Men's Lightweight
Bassim Abbas Kati Al-Ogaili,Football Men's Football
Essa Abbas Faleh Hashem,Athletics Men's Long Jump
Ghulam Abbas,Athletics Men's 400 metres Hurdles
Hosni Mohamed Abbas,Weightlifting Men's Featherweight
Maher Abbas,Athletics Men's 400 metres
Maher Abbas,Athletics Men's 800 metres
Mahmoud Abbas,"Cycling Men's Road Race, Individual"
Mohamed Fakhry Rifaat Abbas,Diving Men's Platform
Mohammed Abbas Sabih,Swimming Men's 100 metres Freestyle
Muhammad Abbas,Alpine Skiing Men's Giant Slalom
Nader Sufyan Abbas,Weightlifting Men's Middleweight
Sohail Abbas,Hockey Men's Hockey
Youssef Mohamed Abbas,Basketball Men's Basketball
Zulkifli Abbas,Hockey Men's Hockey
Forough Abbasi,Alpine Skiing Women's Slalom
Shakeel Abbasi,Hockey Men's Hockey
Soulmaz Abbasi Azad,Rowing Women's Single Sculls
Ruslan Abbasov,Athletics Men's 100 metres
Tural Abbasov,Swimming Men's 50 metres Freestyle
Tran Abbasova,Weightlifting Women's Featherweight
Simona Abbate,Water Polo Women's Water Polo
Franz Abb,Gymnastics Men's Individual All-Around
Christian Abbiati,Football Men's Football
Lois Abbingh,Handball Women's Handball
Alessandro Abbio,Basketball Men's Basketball
Giordano Giulio Abbondati,Figure Skating Men's Singles
Salwan Jasim Abbood Abbood,Weightlifting Men's Heavyweight
"George ""Ioannis"" Abbot",Football Men's Football
"William ""Bill"" Abbott Jr.",Sailing Mixed Three Person Keelboat
Clare Abbott,"Equestrianism Mixed Three-Day Event, Individual"
Clare Abbott,"Equestrianism Mixed Three-Day Event, Team"
"David ""Dave"" Abbott","Athletics Men's 5,000 metres"
"Desmond ""Des"" Abbott",Hockey Men's Hockey
Geoffrey Grant Abbott,Hockey Men's Hockey
Jeremy Abbott,Figure Skating Men's Singles
Jeremy Abbott,Figure Skating Mixed Team
Jeremy Abbott,"Canoeing Men's Canadian Doubles, 1,000 metres"
Joanne Abbott,Sailing Mixed Three Person Keelboat
"Kathryn ""Katie"" Abbott",Sailing Women's Three Person Keelboat
Mara Katherine Abbott,"Cycling Women's Road Race, Individual"
Margaret Ives Abbott (-Dunne),Golf Women's Individual
Mary Perkins Ives Abbott (Perkins-),Golf Women's Individual
Matt Abbott,Sailing Mixed Three Person Keelboat
Monica Cecilia Abbott,Softball Women's Softball
Khadija Abbouda,Archery Women's Individual
Mohamed Ibrahim Abd El-Fatah Mohamed,"Wrestling Men's Light-Heavyweight, Greco-Roman"
Mohamed Ibrahim Abd El-Fatah Mohamed,"Wrestling Men's Heavyweight, Greco-Roman"
Mahmoud Abd El-Kader,Volleyball Men's Volleyball
Mohamed Ibrahim Abd El-Salam,Handball Men's Handball
Noha Abd Rabo,Taekwondo Women's Heavyweight
Reem Wa'il Abdalazem Abdalazem El-Bossaty,Synchronized Swimming Women's Duet
Reem Wa'il Abdalazem Abdalazem El-Bossaty,Synchronized Swimming Women's Team
Ali Abdalla Afringi,"Athletics Men's 5,000 metres"
Hossam Abdalla,Volleyball Men's Volleyball
Hosam Abdallah,Handball Men's Handball
Ismail Abdallah,Gymnastics Men's Individual All-Around
Ismail Abdallah,Gymnastics Men's Team All-Around
Ismail Abdallah,Gymnastics Men's Floor Exercise
Ismail Abdallah,Gymnastics Men's Horse Vault
Ismail Abdallah,Gymnastics Men's Parallel Bars
Ismail Abdallah,Gymnastics Men's Horizontal Bar
Ismail Abdallah,Gymnastics Men's Rings
Ismail Abdallah,Gymnastics Men's Pommelled Horse
Maged Abdallah,"Fencing Men's Foil, Individual"
Nia Nicole Abdallah,Taekwondo Women's Featherweight
Omari Abdallah,Athletics Men's Marathon
Omari Abdallah,Athletics Men's 4 x 400 metres Relay
Ould Lamine Abdallah,"Athletics Men's 10,000 metres"
Younis Abdallah Rabee,Athletics Men's 100 metres
Raida Abdallah Bader,"Athletics Women's 3,000 metres"
Maha Abdalsalam Gouda,Diving Women's Platform
Mahmoud Abdel Aziz,Volleyball Men's Volleyball
Mohamed Abdel Ellah,"Shooting Men's Air Rifle, 10 metres"
Mohamed Abdel Fatah,Football Men's Football
Ali Mohamed Badawi Abdel Fattah Badawi,Football Men's Football
Abdelgani Hassan Abdel Fattah,Athletics Men's Marathon
Mahmoud Atter Abdel Fattah,Athletics Men's Long Jump
Mohamed Abdel Fattah,"Cycling Men's Road Race, Individual"
Sayed Abdel Gadir,Boxing Men's Featherweight
Sayed Abdel Gadir,Boxing Men's Lightweight
Ibrahim Saad Abdel Galil,Athletics Men's 200 metres
Ibrahim Saad Abdel Galil,Athletics Men's 4 x 400 metres Relay
Heba Abdel Gawad,Synchronized Swimming Women's Duet
Sara Abdel Gawad,Synchronized Swimming Women's Duet
Gamal Amin Abdel Ghani,Hockey Men's Hockey
Abdel Sattar Abdel Hadj,Rowing Men's Coxed Eights
Ragy Abdel Hady,Water Polo Men's Water Polo
Osman Abdel Hafeez,"Fencing Men's Foil, Individual"
Osman Abdel Hafeez,"Fencing Men's Foil, Team"
Osman Abdel Hafeez,"Fencing Men's epee, Team"
Mohamed Abdel Hafiz,Water Polo Men's Water Polo
Moustafa Ali Abdel Halim,Weightlifting Men's Flyweight
Mohamed Abdel Hamed,Volleyball Men's Volleyball
Hwad Ibrahim Abdel Hamid Lumomba,Boxing Men's Featherweight
Ibrahim Abdel Hamid,"Wrestling Men's Featherweight, Freestyle"
Tamer Mohamed Abdel Hamid,Football Men's Football
Ahmed El-Sayed Abdel Hamid Mobarak,Basketball Men's Basketball
Dorri Abdel Kader Said,Water Polo Men's Water Polo
Dorri Abdel Kader Said,Swimming Men's 100 metres Freestyle
Dorri Abdel Kader Said,Swimming Men's 100 metres Backstroke
Moustafa Mounib Abdel Kader,Athletics Men's 100 metres
Mohamed Ali Abdel Kerim,Weightlifting Men's Light-Heavyweight
Mohamed Abdel Khaled,Handball Men's Handball
Abdel Latif Abdel Latif,"Wrestling Men's Lightweight, Greco-Roman"
Walid Abdel Maksoud,Handball Men's Handball
Amir Abdel Meguid,Basketball Men's Basketball
Mohamed Abdel Mohamed,Handball Men's Handball
Karim Abdel Mohsen,Water Polo Men's Water Polo
Awad Abdel Nabi Awad,Basketball Men's Basketball
Ahmed Abdel Naeim,Volleyball Men's Volleyball
Moustafa Abdel Naser,Athletics Men's 400 metres
Ali Abdel Radi,Rowing Men's Coxed Eights
Amin Abdel Rahman,Water Polo Men's Water Polo
Mohamed Fathallah Abdel Rahman,"Fencing Men's Sabre, Individual"
Mohamed Fathallah Abdel Rahman,"Fencing Men's epee, Individual"
Mohamed Fathallah Abdel Rahman,"Fencing Men's epee, Team"
Mohamed Fathallah Abdel Rahman,"Fencing Men's Sabre, Team"
Fathi Ali Abdel Rahman,Boxing Men's Welterweight
Ibrahim Abdel Rahman,Water Polo Men's Water Polo
Khaled Abdel Rahman,Volleyball Men's Volleyball
Sameh Abdel Rahman,"Fencing Men's Foil, Team"
Sameh Abdel Rahman,"Fencing Men's Foil, Individual"
Yasser Abdel Rahman Sakr,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Samy Abdel Razek,"Shooting Men's Free Pistol, 50 metres"
Samy Abdel Razek,"Shooting Men's Air Pistol, 10 metres"
Mohamed Youssef Abdel Razik,Football Men's Football
Ibrahim Ahmed Abdel Rehim,"Fencing Men's epee, Team"
Kamal Abdel Rehim,Rowing Men's Coxless Fours
Reskalla Mohamed Abdel Rehim,Boxing Men's Light-Flyweight
Ahmed Ali Abdel Samad,Boxing Men's Super-Heavyweight
Ali Abdel Sami,Rowing Men's Coxed Eights
Mohamed Abdel Sami,Rowing Men's Coxed Eights
Sameh Abdel Waress Muhammad,Handball Men's Handball
Mohamed Said Abdel Wehab,Boxing Men's Light-Flyweight
Mahmoud Abdel-Aal,Gymnastics Men's Individual All-Around
Mahmoud Abdel-Aal,Gymnastics Men's Team All-Around
Mahmoud Abdel-Aal,Gymnastics Men's Floor Exercise
Mahmoud Abdel-Aal,Gymnastics Men's Horse Vault
Mahmoud Abdel-Aal,Gymnastics Men's Parallel Bars
Mahmoud Abdel-Aal,Gymnastics Men's Horizontal Bar
Mahmoud Abdel-Aal,Gymnastics Men's Rings
Mahmoud Abdel-Aal,Gymnastics Men's Pommelled Horse
Mohamed Abdel-El,"Wrestling Men's Flyweight, Greco-Roman"
Shaimaa Abdel-Latif-Hashad,"Shooting Women's Air Rifle, 10 metres"
Sanad Bushara Abdel-Nadif,Football Men's Football
Ahmed Abdelaal,Volleyball Men's Volleyball
Mahmoud Abdelaal,Boxing Men's Lightweight
Mohamed Ali Abdelaal,Judo Men's Half-Middleweight
Moustafa Abdelal,Gymnastics Men's Individual All-Around
Moustafa Abdelal,Gymnastics Men's Team All-Around
Moustafa Abdelal,Gymnastics Men's Floor Exercise
Moustafa Abdelal,Gymnastics Men's Horse Vault
Moustafa Abdelal,Gymnastics Men's Parallel Bars
Moustafa Abdelal,Gymnastics Men's Horizontal Bar
