Table Tennis,Table Tennis Women's Singles
Table Tennis,Table Tennis Women's Doubles
Shooting,Shooting Men's Skeet
Swimming,Swimming Women's 50 metres Freestyle
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Athletics,Athletics Men's Triple Jump
Weightlifting,Weightlifting Women's Lightweight
Athletics,Athletics Women's Long Jump
Fencing,"Fencing Women's epee, Individual"
Swimming,Swimming Men's 200 metres Freestyle
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Swimming,Swimming Men's 200 metres Backstroke
Swimming,Swimming Men's 200 metres Individual Medley
Swimming,Swimming Men's 400 metres Individual Medley
Badminton,Badminton Women's Singles
Boxing,Boxing Men's Light-Middleweight
Tennis,Tennis Men's Singles
Wrestling,"Wrestling Men's Bantamweight, Freestyle"
Wrestling,"Wrestling Men's Flyweight, Freestyle"
Athletics,"Athletics Women's 5,000 metres"
Weightlifting,Weightlifting Women's Light-Heavyweight
Weightlifting,Weightlifting Women's Heavyweight
Athletics,Athletics Men's Discus Throw
Taekwondo,Taekwondo Men's Featherweight
Taekwondo,Taekwondo Men's Welterweight
Judo,Judo Men's Heavyweight
Cycling,Cycling Men's Sprint
Bobsleigh,Bobsleigh Men's Two
Wrestling,"Wrestling Men's Lightweight, Freestyle"
Nordic Combined,Nordic Combined Men's Team
Nordic Combined,Nordic Combined Men's Individual
Baseball,Baseball Men's Baseball
Rowing,Rowing Men's Coxed Fours
Cycling,Cycling Men's 100 kilometres Team Time Trial
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
Gymnastics,Gymnastics Women's Individual All-Around
Gymnastics,Gymnastics Women's Team All-Around
Gymnastics,Gymnastics Women's Floor Exercise
Gymnastics,Gymnastics Women's Horse Vault
Gymnastics,Gymnastics Women's Uneven Bars
Gymnastics,Gymnastics Women's Balance Beam
Diving,Diving Women's Springboard
Diving,Diving Women's Synchronized Springboard
Athletics,"Athletics Women's 10,000 metres"
Sailing,Sailing Mixed 7 metres
Judo,Judo Women's Half-Middleweight
Athletics,Athletics Men's Decathlon
Biathlon,Biathlon Men's 10 kilometres Sprint
Biathlon,Biathlon Men's 20 kilometres
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
Freestyle Skiing,Freestyle Skiing Men's Moguls
Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
Athletics,Athletics Women's Discus Throw
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Athletics,"Athletics Women's 1,500 metres"
Shooting,"Shooting Women's Air Pistol, 10 metres"
Shooting,"Shooting Women's Sporting Pistol, 25 metres"
Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
Shooting,"Shooting Men's Running Target, 50 metres"
Judo,Judo Women's Half-Heavyweight
Athletics,Athletics Women's Pole Vault
Rugby Sevens,Rugby Sevens Women's Rugby Sevens
Table Tennis,Table Tennis Men's Team
Figure Skating,Figure Skating Mixed Pairs
Freestyle Skiing,Freestyle Skiing Men's Aerials
Rowing,Rowing Women's Coxed Eights
Athletics,Athletics Women's 4 x 400 metres Relay
Alpine Skiing,Alpine Skiing Women's Giant Slalom
Alpine Skiing,Alpine Skiing Women's Super G
Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres
Cross Country Skiing,Cross Country Skiing Women's 20 kilometres
Cycling,"Cycling Men's 1,000 metres Time Trial"
Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
Wrestling,"Wrestling Men's Welterweight, Freestyle"
Wrestling,"Wrestling Men's Bantamweight, Greco-Roman"
Rowing,Rowing Women's Lightweight Double Sculls
Athletics,Athletics Women's 800 metres
Rowing,Rowing Women's Coxed Quadruple Sculls
Biathlon,Biathlon Men's 12.5 kilometres Pursuit
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
Canoeing,"Canoeing Men's Kayak Singles, Slalom"
Archery,Archery Men's Individual
Archery,Archery Men's Team
Speed Skating,"Speed Skating Women's 1,500 metres"
Speed Skating,Speed Skating Women's Team Pursuit (6 laps)
Cross Country Skiing,Cross Country Skiing Men's Sprint
Athletics,Athletics Women's 400 metres
Figure Skating,Figure Skating Women's Singles
Speed Skating,"Speed Skating Men's 1,000 metres"
Trampolining,Trampolining Men's Individual
Beach Volleyball,Beach Volleyball Men's Beach Volleyball
Cycling,"Cycling Women's Mountainbike, Cross-Country"
Athletics,"Athletics Men's Javelin Throw, Both Hands"
Triathlon,Triathlon Women's Olympic Distance
Gymnastics,Gymnastics Women's Team Portable Apparatus
Cycling,"Cycling Men's Mountainbike, Cross-Country"
Athletics,Athletics Women's 400 metres Hurdles
Diving,Diving Men's Springboard
Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
Table Tennis,Table Tennis Men's Singles
Art Competitions,Art Competitions Mixed Painting
Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay
Judo,Judo Men's Open Class
Rowing,Rowing Women's Quadruple Sculls
Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
Nordic Combined,Nordic Combined Men's Sprint
Athletics,Athletics Women's Pentathlon
Art Competitions,"Art Competitions Mixed Painting, Unknown Event"
Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Weightlifting,Weightlifting Women's Middleweight
Swimming,"Swimming Men's 1,500 metres Freestyle"
Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle"
Swimming,Swimming Women's 100 metres Freestyle
Equestrianism,"Equestrianism Men's Jumping, Individual"
Equestrianism,"Equestrianism Men's Jumping, Team"
Equestrianism,"Equestrianism Men's Three-Day Event, Individual"
Equestrianism,"Equestrianism Men's Three-Day Event, Team"
Alpine Skiing,Alpine Skiing Women's Combined
Athletics,Athletics Women's High Jump
Ski Jumping,"Ski Jumping Men's Normal Hill, Individual"
Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
Ice Hockey,Ice Hockey Women's Ice Hockey
Sailing,Sailing Men's One Person Dinghy
Trampolining,Trampolining Women's Individual
Curling,Curling Men's Curling
Art Competitions,Art Competitions Mixed Literature
Judo,Judo Men's Middleweight
Biathlon,Biathlon Women's 15 kilometres
Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay
Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
Judo,Judo Men's Half-Lightweight
Fencing,"Fencing Women's Foil, Team"
Swimming,Swimming Women's 200 metres Butterfly
Swimming,Swimming Women's 400 metres Individual Medley
Golf,Golf Men's Individual
Athletics,Athletics Men's Standing High Jump
Athletics,Athletics Men's Standing Long Jump
Athletics,Athletics Men's 20 kilometres Walk
Swimming,Swimming Men's 220 yard Freestyle
Swimming,Swimming Men's 880 yard Freestyle
Swimming,Swimming Men's One Mile Freestyle
Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay
Swimming,Swimming Men's Plunge For Distance
Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres"
Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres"
Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres"
Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
Shooting,"Shooting Men's Military Rifle, Prone, 300 metres"
Judo,Judo Men's Half-Heavyweight
Archery,Archery Women's Team
Athletics,Athletics Men's 50 kilometres Walk
Rowing,Rowing Women's Double Sculls
Sailing,Sailing Mixed 6 metres
Boxing,Boxing Men's Light-Heavyweight
Boxing,Boxing Women's Flyweight
Athletics,Athletics Women's 100 metres Hurdles
Athletics,"Athletics Men's Discus Throw, Greek Style"
Curling,Curling Women's Curling
Sailing,Sailing Mixed One Person Dinghy
Wrestling,"Wrestling Women's Heavyweight, Freestyle"
Badminton,Badminton Mixed Doubles
Fencing,"Fencing Women's Foil, Individual"
Sailing,Sailing Mixed Two Person Keelboat
Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
Table Tennis,Table Tennis Men's Doubles
